Advanced Calibration Data
,Temperature,date,m,b,Thermistor,A,B,C,KOhm,min,max
,,,1,0,4,0.0014035971835255623,0.00023726772633381188,9.962900548998732e-8,3,-20,60
,Pressure,date,m2,m1,m0,b2,b1,b0,LinearA,LinearB
,,24-Aug-2020 09:27:45,4.67599988951406e-7,0.00003301670221844688,1.010563850402832,0.00015278111095540226,-0.007007943466305733,-0.0350460559129715,-0.000008718800017959438,1.0026094913482666

Field Calibration Data
,Temperature,date,Slope,Offset,Unit
,,,1,0,0
,Pressure,date,Slope,Offset,Unit
,,,1,0,0

Sensor/File information
Sensor SN,0012202845,,Modbus Addr.,2
Sensor Type,LevelSCOUT,,Initialized w/fw Rev,v2.4
Sensor Name,Seametrics Smart Sensor
File Name,Test File #4

# Records,1441
Statistical Data,,Temperature (°C),Pressure (psi)
,Sensor Range,,300 psia
,Minimum,17.70,14.543
,Maximum,24.01,19.560
,Mean,19.45,16.432
,Variance,2.468,5.3631
,Std Deviation,1.571,2.3158

Rec #,Date / Time,Temperature (°C),Pressure (psi)
173,05-May-2021 12:07:00,17.79,19.539
174,05-May-2021 12:08:00,17.80,19.539
175,05-May-2021 12:09:00,17.81,19.539
176,05-May-2021 12:10:00,17.81,19.539
177,05-May-2021 12:11:00,17.81,19.539
178,05-May-2021 12:12:00,17.81,19.549
179,05-May-2021 12:13:00,17.81,19.539
180,05-May-2021 12:14:00,17.81,19.539
181,05-May-2021 12:15:00,17.80,19.539
182,05-May-2021 12:16:00,17.80,19.539
183,05-May-2021 12:17:00,17.80,19.539
184,05-May-2021 12:18:00,17.80,19.539
185,05-May-2021 12:19:00,17.81,19.549
186,05-May-2021 12:20:00,17.81,19.529
187,05-May-2021 12:21:00,17.81,19.539
188,05-May-2021 12:22:00,17.81,19.539
189,05-May-2021 12:23:00,17.80,19.539
190,05-May-2021 12:24:00,17.79,19.539
191,05-May-2021 12:25:00,17.79,19.539
192,05-May-2021 12:26:00,17.80,19.539
193,05-May-2021 12:27:00,17.81,19.539
194,05-May-2021 12:28:00,17.81,19.539
195,05-May-2021 12:29:00,17.81,19.539
196,05-May-2021 12:30:00,17.81,19.539
197,05-May-2021 12:31:00,17.81,19.539
198,05-May-2021 12:32:00,17.80,19.539
199,05-May-2021 12:33:00,17.79,19.539
200,05-May-2021 12:34:00,17.78,19.539
201,05-May-2021 12:35:00,17.77,19.539
202,05-May-2021 12:36:00,17.76,19.539
203,05-May-2021 12:37:00,17.75,19.539
204,05-May-2021 12:38:00,17.75,19.539
205,05-May-2021 12:39:00,17.76,19.539
206,05-May-2021 12:40:00,17.77,19.539
207,05-May-2021 12:41:00,17.78,19.539
208,05-May-2021 12:42:00,17.78,19.539
209,05-May-2021 12:43:00,17.78,19.549
210,05-May-2021 12:44:00,17.77,19.539
211,05-May-2021 12:45:00,17.77,19.549
212,05-May-2021 12:46:00,17.79,19.549
213,05-May-2021 12:47:00,17.79,19.539
214,05-May-2021 12:48:00,17.80,19.539
215,05-May-2021 12:49:00,17.80,19.549
216,05-May-2021 12:50:00,17.79,19.549
217,05-May-2021 12:51:00,17.78,19.539
218,05-May-2021 12:52:00,17.78,19.549
219,05-May-2021 12:53:00,17.78,19.549
220,05-May-2021 12:54:00,17.78,19.539
221,05-May-2021 12:55:00,17.77,19.549
222,05-May-2021 12:56:00,17.77,19.539
223,05-May-2021 12:57:00,17.76,19.539
224,05-May-2021 12:58:00,17.76,19.539
225,05-May-2021 12:59:00,17.76,19.539
226,05-May-2021 13:00:00,17.76,19.539
227,05-May-2021 13:01:00,17.76,19.539
228,05-May-2021 13:02:00,17.77,19.549
229,05-May-2021 13:03:00,17.77,19.539
